,FinalElecCode2012,Demand_Name2025,Elevation,HouseHolds,LCOE_SHS2025,LCOE_MG_Hybrid_LowLands2025,LCOE_MG_Hybrid_HighLands2025,LCOE_Grid2025,MinimumOverall2025,MinimumOverallLCOE2025,NewConnections2025,PVcapacity2025,GenSetcapacity2025,Batterycapacity2025,NewCapacity2025,NPC2025,InvestmentCapita2025,InvestmentCost2025,MinGridDist2025
196,SA_Diesel2012,Lowlands,351,66.47543748483159,99.0,0.6707751999999999,99.0,99.0,MG_Hybrid_LowLands2025,0.6707751999999999,227.28578,4.0950165,6.419978599999999,9.809825,20.324820000000003,185387.12,775.69434,176304.28,0.0
244,SA_Diesel2012,Lowlands,160,78.39887093035661,99.0,0.74916214,99.0,99.0,MG_Hybrid_LowLands2025,0.74916214,268.0531,4.140181,7.296488,8.970084,20.406751999999997,236505.03,828.4936,222080.28,0.0
257,SA_PV2012,Lowlands,193,51.79557249729663,99.0,0.68706286,99.0,99.0,MG_Hybrid_LowLands2025,0.68706286,177.09393,2.0259826000000003,5.3406405,8.404569,15.771192999999998,152918.94,819.6122,145148.34,0.0
400,SA_PV2012,Lowlands,158,80.86358026808682,99.0,0.77009493,99.0,99.0,MG_Hybrid_LowLands2025,0.77009493,276.4802,4.4401283,7.477672999999999,7.608374,19.526175,248815.61,844.5022,233488.12,0.0
434,SA_PV2012,Highlands,4133,54.03068124459283,99.0,99.0,0.61559296,99.0,MG_Hybrid_HighLands2025,0.61559296,184.73598,5.3219547,6.684757,8.807514,20.814226,168132.23,656.3649,121254.23,0.0
577,SA_Diesel2012,Lowlands,146,52.60126562195483,99.0,0.6965526,99.0,99.0,MG_Hybrid_LowLands2025,0.6965526,179.84868,1.7377293999999999,5.3998165,7.0200477,14.157594,155163.16,817.73724,147068.95,0.0
625,SA_PV2012,Highlands,4082,92.49115616860192,99.0,99.0,0.5672946,99.0,MG_Hybrid_HighLands2025,0.5672946,316.23596000000003,10.242192999999999,10.407746000000001,14.297765,34.947703999999995,256871.67,550.6038,174120.73,0.0
691,SA_PV2012,Lowlands,219,50.99250562444543,99.0,0.74261326,99.0,99.0,MG_Hybrid_LowLands2025,0.74261326,174.34818,2.7849147000000003,5.2816849999999995,9.580921,17.64752,165432.6,899.3229,156795.3,0.0
803,SA_PV2012,Highlands,3689,83.00004349603469,99.0,99.0,0.5437095000000001,99.0,MG_Hybrid_HighLands2025,0.5437095000000001,283.78494,7.791208999999999,9.492272,11.78346,29.066941999999997,217899.19,510.04787999999996,144743.92,0.0
869,SA_PV2012,Highlands,1654,60.570299348560454,99.0,99.0,0.62306243,99.0,MG_Hybrid_HighLands2025,0.62306243,207.09555,5.013799,7.3215985,8.397389,20.732785999999997,183533.84,621.78406,128768.71,0.0
996,SA_PV2012,Highlands,3792,51.8045791435894,99.0,99.0,0.62736654,99.0,MG_Hybrid_HighLands2025,0.62736654,177.12473,5.3552985,6.468978,8.539807000000001,20.364084,165896.05,677.721,120041.16,0.0
1084,SA_Diesel2012,Lowlands,127,63.19024134673556,99.0,0.6712134,99.0,99.0,MG_Hybrid_LowLands2025,0.6712134,216.05337999999998,2.5643713,6.178298000000001,6.8891063,15.631775,173589.4,761.7547,164579.67,0.0
1086,SA_PV2012,Lowlands,168,60.160478961013965,99.0,0.67531633,99.0,99.0,MG_Hybrid_LowLands2025,0.67531633,205.69433999999998,2.7485107999999996,5.9556212,8.304335,17.008467,169497.2,782.03375,160859.9,0.0
1235,SA_Diesel2012,Lowlands,379,80.69262899365296,99.0,0.6188954000000001,99.0,99.0,MG_Hybrid_LowLands2025,0.6188954000000001,275.8957,5.658663,7.465282000000001,12.644375,25.768320000000003,205272.05,708.52954,195480.25,0.0
1242,SA_PV2012,Lowlands,249,55.547537149130584,99.0,0.7830712,99.0,99.0,MG_Hybrid_LowLands2025,0.7830712,189.92226000000002,3.0221725,5.616562999999999,10.1870985,18.825834,186674.03,925.7327,175817.25,0.0
1417,Non,Lowlands,229,72.15170939741701,99.0,0.62091714,99.0,99.0,MG_Hybrid_LowLands2025,0.62091714,246.69348,4.2443957,6.837288,11.021464,22.103148,185011.33,713.7406,176075.16,0.0
1440,SA_Diesel2012,Lowlands,160,50.150105730056325,99.0,0.90811324,99.0,99.0,MG_Hybrid_LowLands2025,0.90811324,171.46793,1.4600731000000002,5.2195864,6.1828294,12.862489,193636.08,1054.2705,180773.6,0.0
1551,SA_Diesel2012,Lowlands,181,53.018482836972254,99.0,0.6875858,99.0,99.0,MG_Hybrid_LowLands2025,0.6875858,181.27518,1.7934148,5.430487,6.731814999999999,13.955717000000002,153951.69,805.9525,146099.19,0.0
1585,SA_Diesel2012,Lowlands,254,72.3540080660912,99.0,0.64522547,99.0,99.0,MG_Hybrid_LowLands2025,0.64522547,247.38516,4.194060299999999,6.852130000000001,9.461227000000001,20.507417999999998,190917.64,733.86194,181546.56,0.0
1722,SA_Diesel2012,Lowlands,129,58.26044925072252,99.0,0.9248392,99.0,99.0,MG_Hybrid_LowLands2025,0.9248392,199.19795,2.1411846000000003,5.8158712,7.2860994,15.243155499999999,224033.42,1046.6863,208497.78,0.0
1738,SA_PV2012,Highlands,4013,70.71605431791852,99.0,99.0,0.569312,99.0,MG_Hybrid_HighLands2025,0.569312,241.78484,8.316998,8.299004,11.687594,28.303596000000002,200979.58,568.3429,137416.69,0.0
1760,SA_Diesel2012,Lowlands,386,57.18926989247165,99.0,0.85400045,99.0,99.0,MG_Hybrid_LowLands2025,0.85400045,195.53548999999998,3.2134535,5.737275599999999,10.878164,19.828894000000002,208892.12,999.8996599999999,195515.88,0.0
1924,SA_Diesel2012,Lowlands,195,63.79072755633211,99.0,0.65602833,99.0,99.0,MG_Hybrid_LowLands2025,0.65602833,218.1065,3.3499214999999998,6.2225485,8.918281,18.49075,173840.0,758.1394700000001,165355.14,0.0
2119,SA_PV2012,Lowlands,230,59.112706375487136,99.0,0.701739,99.0,99.0,MG_Hybrid_LowLands2025,0.701739,202.11191000000002,3.6876495000000005,5.878672,7.916564,17.482885,174780.28,823.94,166528.08,0.0
2366,SA_PV2012,Highlands,3086,64.00638051534222,99.0,99.0,0.5856816,99.0,MG_Hybrid_HighLands2025,0.5856816,218.84384,5.715713,7.6526546,9.519618,22.887985,181386.31,584.59406,127934.81,0.0
2487,SA_PV2012,Highlands,2597,69.28867150275583,99.0,99.0,0.57325023,99.0,MG_Hybrid_HighLands2025,0.57325023,236.90447999999998,6.615149000000001,8.163347,10.543130999999999,25.321627,192718.52,567.2095,134374.47,0.0
2569,SA_Diesel2012,Lowlands,260,52.799684651842206,99.0,1.0483278,99.0,99.0,MG_Hybrid_LowLands2025,1.0483278,180.52708,2.6229975,5.4145293,10.133347,18.170873999999998,238100.25,1222.5542,220704.14,0.0
2705,SA_PV2012,Highlands,4148,138.03493290861778,99.0,99.0,0.47311720000000007,99.0,MG_Hybrid_HighLands2025,0.47311720000000007,471.9544,16.316854,14.816191,19.370096,50.503143,318462.28,419.6528,198057.0,0.0
2838,SA_Diesel2012,Lowlands,141,89.69229744684748,99.0,0.6164324000000001,99.0,99.0,MG_Hybrid_LowLands2025,0.6164324000000001,306.6664,5.207653,8.126755000000001,7.8051977,21.139605,218625.39,677.92804,207897.75,0.0
2856,SA_Diesel2012,Lowlands,136,114.24040009376776,99.0,0.5894793,99.0,99.0,MG_Hybrid_LowLands2025,0.5894793,390.59866,7.196091,9.931525,9.349227,26.476845,263415.7,640.7249,250266.31,0.0
2919,SA_PV2012,Highlands,1124,50.337697532275136,99.0,99.0,0.6825251,99.0,MG_Hybrid_HighLands2025,0.6825251,172.10933,6.305867,6.3324766,9.9811735,22.619516,170939.19,684.9974,117894.43,0.0
3039,SA_PV2012,Highlands,2997,77.44111522064586,99.0,99.0,0.551204,99.0,MG_Hybrid_HighLands2025,0.551204,264.77847,7.5210414000000005,8.952821,11.583008999999999,28.05687,206342.78,530.92175,140576.64,0.0
3048,SA_PV2012,Highlands,1834,95.63809175602265,99.0,99.0,0.5236985,99.0,MG_Hybrid_HighLands2025,0.5236985,326.99564,9.799097,10.714939,13.711526000000001,34.225563,241956.77,484.24268,158345.23,0.0
3070,SA_PV2012,Highlands,2340,75.26365959184176,99.0,99.0,0.5580911,99.0,MG_Hybrid_HighLands2025,0.5580911,257.33353,6.650179,8.742227999999999,11.21295,26.605356,203431.36,543.47205,139853.58,0.0
3084,SA_Diesel2012,Highlands,2501,60.34679717060821,99.0,99.0,0.58750695,99.0,MG_Hybrid_HighLands2025,0.58750695,206.33138,5.2846303,7.297447,9.304166,21.886244,173921.55,601.36505,124080.48,0.0
3211,SA_PV2012,Highlands,4153,63.595120706157076,99.0,99.0,0.59081703,99.0,MG_Hybrid_HighLands2025,0.59081703,217.4377,6.164239,7.610829400000001,10.250761,24.02583,186741.4,606.77795,131936.4,0.0
3551,SA_Diesel2012,Lowlands,214,56.06349129659958,99.0,0.70007527,99.0,99.0,MG_Hybrid_LowLands2025,0.70007527,191.68636,3.0749948,5.6544795,8.821744,17.551218,167291.31,829.6841400000001,159039.12,0.0
3586,Non,Lowlands,210,59.922606088403214,99.0,0.6833704,99.0,99.0,MG_Hybrid_LowLands2025,0.6833704,204.88103,3.440145,5.938192,8.102276,17.480614000000003,171840.17,798.83765,163666.69,0.0
3625,SA_PV2012,Lowlands,218,58.92652916259818,99.0,0.7036563,99.0,99.0,MG_Hybrid_LowLands2025,0.7036563,201.47534,3.7050142,5.864982,7.499404400000001,17.0694,174575.77,825.9188,166402.28,0.0
3780,SA_Diesel2012,Lowlands,157,75.22692801407752,99.0,0.6443778,99.0,99.0,MG_Hybrid_LowLands2025,0.6443778,257.20795,3.8795156000000004,7.0632825,8.529057,19.471854999999998,195687.98,721.94727,185690.56,0.0
3781,Non,Lowlands,243,52.58514413809196,99.0,0.6971085,99.0,99.0,MG_Hybrid_LowLands2025,0.6971085,179.79355,2.3401701,5.398698,7.316807300000001,15.055675500000001,156528.05,827.83875,148840.06,0.0
3888,SA_Diesel2012,Lowlands,186,53.066847288853324,99.0,0.7271565,99.0,99.0,MG_Hybrid_LowLands2025,0.7271565,181.44054,2.141925,5.4341054,8.464672,16.040703,164887.62,859.11285,155877.9,0.0
3942,SA_PV2012,Highlands,3353,65.06112693939403,99.0,99.0,0.6114031999999999,99.0,MG_Hybrid_HighLands2025,0.6114031999999999,222.45012000000003,6.1334624,7.755733,9.56066,23.449856,191772.9,604.1699,134397.67,0.0
3988,SA_PV2012,Highlands,2648,68.6630571612488,99.0,99.0,0.5655975999999999,99.0,MG_Hybrid_HighLands2025,0.5655975999999999,234.76546000000002,6.0858717,8.103122,10.297194000000001,24.486187,188289.55,558.2189,131050.51,0.0
4011,Non,Highlands,2861,59.922606088403214,99.0,99.0,0.58132404,99.0,MG_Hybrid_HighLands2025,0.58132404,204.88103,4.609513,7.257099,9.030337,20.89695,169974.55,591.17285,121120.1,0.0
4020,SA_PV2012,Highlands,2377,50.55219309259715,99.0,99.0,0.63005006,99.0,MG_Hybrid_HighLands2025,0.63005006,172.8427,3.3527625,6.3503203,7.4131884999999995,17.116272,156848.98,670.72675,115930.23,0.0
4097,SA_PV2012,Highlands,2803,96.77576506964016,99.0,99.0,0.5221566,99.0,MG_Hybrid_HighLands2025,0.5221566,330.88544,10.289226,10.825731,13.722775,34.83773,243877.36,474.96826,157160.08,0.0
4491,SA_PV2012,Lowlands,221,56.88457146466862,99.0,0.6777108000000001,99.0,99.0,MG_Hybrid_LowLands2025,0.6777108000000001,194.4937,2.9079273,5.7148337,9.497800999999999,18.120562,164219.0,802.3165,156045.52,0.0
4507,SA_Diesel2012,Lowlands,231,63.9960754675141,99.0,0.67816323,99.0,99.0,MG_Hybrid_LowLands2025,0.67816323,218.80861000000002,3.8094616,6.2376885,9.500073,19.547224,181211.66,787.3341,172275.48,0.0
4526,SA_Diesel2012,Lowlands,454,54.63291827088639,99.0,0.7026858,99.0,99.0,MG_Hybrid_LowLands2025,0.7026858,186.79509,2.841134,5.5493073,9.743989,18.13443,165203.17,838.9851699999999,156718.31,0.0
4657,SA_PV2012,Lowlands,493,72.79561900035222,99.0,0.63854647,99.0,99.0,MG_Hybrid_LowLands2025,0.63854647,248.89507000000003,4.028779,6.884565400000001,8.515618,19.428963,188872.55,722.0594,179717.02,0.0
4663,SA_PV2012,Lowlands,274,56.65062324598514,99.0,0.6925014,99.0,99.0,MG_Hybrid_LowLands2025,0.6925014,193.69382,2.8730952999999997,5.697609,7.6432357,16.21394,165590.05,813.1176,157495.86,0.0
4664,SA_Diesel2012,Lowlands,143,114.96317096927072,99.0,0.59967667,99.0,99.0,MG_Hybrid_LowLands2025,0.59967667,393.0699,8.463913,9.984709,7.019402499999999,25.468025,269793.7,654.54175,257280.66,0.0
4717,SA_PV2012,Highlands,2562,78.04335224547705,99.0,99.0,0.5480108,99.0,MG_Hybrid_HighLands2025,0.5480108,266.83755,6.618167,9.012648,11.072375,26.703190000000003,207098.39,519.5292,138629.9,0.0
4858,SA_PV2012,Highlands,1979,66.53470039933248,99.0,99.0,0.6238132,99.0,MG_Hybrid_HighLands2025,0.6238132,227.4884,5.5197816,7.8972993,9.933996,23.351078,201632.98,634.4757,144335.86,0.0
4869,SA_Diesel2012,Highlands,840,70.99356698309367,99.0,99.0,0.57319593,99.0,MG_Hybrid_HighLands2025,0.57319593,242.73369,5.574157,8.33032,10.067796000000001,23.972273,197491.83,555.62885,134869.83,0.0
4875,SA_PV2012,Highlands,2249,69.31075041848129,99.0,99.0,0.58951676,99.0,MG_Hybrid_HighLands2025,0.58951676,236.97997999999998,6.302245,8.165914,10.35863,24.826788,197845.67,586.0779,138888.72,0.0
4941,SA_Diesel2012,Highlands,1040,50.337697532275136,99.0,99.0,0.6175851,99.0,MG_Hybrid_HighLands2025,0.6175851,172.10933,2.7584996,6.332194,6.3869677000000005,15.477661,156710.14,624.1968400000001,107430.09,0.0
4960,SA_PV2012,Highlands,3837,89.4092751321653,99.0,99.0,0.58542144,99.0,MG_Hybrid_HighLands2025,0.58542144,305.69872999999995,8.402627,10.113024000000001,12.477451,30.993101,253222.69,558.2189,170646.8,0.0
5054,Non,Highlands,1341,55.03096478819572,99.0,99.0,0.6064651999999999,99.0,MG_Hybrid_HighLands2025,0.6064651999999999,188.15605,3.8789616000000002,6.785482000000001,7.430205,18.094648,163583.16,610.7605599999999,114918.3,0.0
5092,SA_PV2012,Highlands,3872,66.03687576470826,99.0,99.0,0.5994169,99.0,MG_Hybrid_HighLands2025,0.5994169,225.78628999999998,7.1378645999999994,7.8474207,10.627897,25.613182000000002,194678.27,607.07776,137069.83,0.0
5346,SA_Diesel2012,Lowlands,203,68.6630571612488,99.0,0.66006327,99.0,99.0,MG_Hybrid_LowLands2025,0.66006327,234.76546000000002,4.230759,6.580788,8.460039,19.271585,186312.48,756.1794,177524.8,0.0
5443,Non,Lowlands,206,53.80805444852008,99.0,0.70056474,99.0,99.0,MG_Hybrid_LowLands2025,0.70056474,183.97481000000002,2.8038752000000002,5.488644,7.857797,16.150316,161195.9,833.94745,153425.31,0.0
5444,SA_Diesel2012,Lowlands,566,144.67302611515453,99.0,0.5894117,99.0,99.0,MG_Hybrid_LowLands2025,0.5894117,494.6507,11.543565,12.169171,17.072826,40.78556,338324.9,649.0958,321075.72,0.0
5450,Non,Lowlands,222,73.37461970784511,99.0,0.6617049,99.0,99.0,MG_Hybrid_LowLands2025,0.6617049,250.87472999999997,5.114933000000001,6.927206,7.995607400000001,20.037746,197955.34,753.1473,188945.61,0.0
5854,SA_PV2012,Highlands,3771,90.5154104253166,99.0,99.0,0.53569615,99.0,MG_Hybrid_HighLands2025,0.53569615,309.4807,8.658132,10.219956,12.673453,31.551540000000003,234535.88,496.6068,153690.23,0.0
5975,SA_PV2012,Highlands,4078,50.35890104360049,99.0,99.0,0.6233525,99.0,MG_Hybrid_HighLands2025,0.6233525,172.18182,4.43661,6.3295617,8.247662,19.013834,159508.86,677.28375,116615.945,0.0
6073,SA_PV2012,Highlands,2715,52.779452562456186,99.0,99.0,0.60988724,99.0,MG_Hybrid_HighLands2025,0.60988724,180.45792,4.011116,6.565537,7.870170599999999,18.446823000000002,158124.28,640.9126,115657.75,0.0
6102,SA_PV2012,Highlands,3584,98.09077006182899,99.0,99.0,0.5934272,99.0,MG_Hybrid_HighLands2025,0.5934272,335.38156000000004,11.615435,10.948746,15.40475,37.96893,285341.47,580.4545,194673.75,0.0
6204,SA_PV2012,Lowlands,251,66.39979589260888,99.0,0.74481666,99.0,99.0,MG_Hybrid_LowLands2025,0.74481666,227.02715,3.8459237,6.414414,10.749133,21.00947,206116.23,855.1356,194139.0,0.0
6284,SA_PV2012,Lowlands,253,63.983450974294996,99.0,0.75311255,99.0,99.0,MG_Hybrid_LowLands2025,0.75311255,218.76543999999998,3.5552566,6.2367578,10.616641,20.408655,201822.05,868.3544300000001,189965.94,0.0
6401,SA_Diesel2012,Lowlands,152,53.44354929549974,99.0,0.71094024,99.0,99.0,MG_Hybrid_LowLands2025,0.71094024,182.72852,1.8341872,5.4617267,6.074862,13.370775,159694.86,827.93317,151287.0,0.0
6414,SA_Diesel2012,Lowlands,203,88.23368804078899,99.0,0.59054834,99.0,99.0,MG_Hybrid_LowLands2025,0.59054834,301.6793,5.3794556,8.019601,10.887762,24.286820000000002,209483.16,661.4772,199553.95,0.0
6441,SA_Diesel2012,Lowlands,207,78.10405455587873,99.0,0.6438809,99.0,99.0,MG_Hybrid_LowLands2025,0.6438809,267.0451,4.224730999999999,7.274811,8.325214,19.824755,202077.08,718.26825,191810.03,0.0
6444,SA_PV2012,Highlands,3314,55.266804850406416,99.0,99.0,0.6213882,99.0,MG_Hybrid_HighLands2025,0.6213882,188.9624,4.1032157,6.8078227,7.669516000000001,18.580555,167507.47,634.44214,119885.71,0.0
6657,SA_PV2012,Highlands,924,68.72375950089803,99.0,99.0,0.58964616,99.0,MG_Hybrid_HighLands2025,0.58964616,234.97298999999998,5.8832607,8.11052,9.7077,23.70148,196071.4,575.1056,135134.28,0.0
6695,SA_PV2012,Highlands,3671,94.63679180575731,99.0,99.0,0.52762806,99.0,MG_Hybrid_HighLands2025,0.52762806,323.57207999999997,9.086924,10.618592,13.323371,33.028890000000004,241591.6,488.69363,158127.62,0.0
6764,SA_PV2012,Highlands,3924,53.245175251212814,99.0,99.0,0.6179920999999999,99.0,MG_Hybrid_HighLands2025,0.6179920999999999,182.05026,2.927002,6.6124125,7.462548700000001,17.001963,162341.38,636.3718,115851.66,0.0
6785,SA_Diesel2012,Highlands,3636,53.228771774524354,99.0,99.0,0.64499813,99.0,MG_Hybrid_HighLands2025,0.64499813,181.99417,3.9352677000000003,6.610197,7.482028999999999,18.027494,167691.58,672.81854,122449.06,0.0
7031,SA_PV2012,Highlands,3810,87.45617229318134,99.0,99.0,0.5330281,99.0,MG_Hybrid_HighLands2025,0.5330281,299.02087,10.036394999999999,9.919499,13.957810999999998,33.913708,230306.25,512.37634,153211.22,0.0
7147,SA_Diesel2012,Lowlands,220,50.53098958068684,99.0,0.71189827,99.0,99.0,MG_Hybrid_LowLands2025,0.71189827,172.7702,2.6972327000000003,5.247745500000001,9.062928,17.007906,157164.33,865.17426,149476.34,0.0
7190,SA_Diesel2012,Lowlands,211,68.31467349209132,99.0,0.6825049,99.0,99.0,MG_Hybrid_LowLands2025,0.6825049,233.5743,4.164614,6.555186,9.433083,20.152884,192523.72,782.6252,182801.12,0.0
7199,SA_PV2012,Lowlands,478,93.21754023219485,99.0,0.60003066,99.0,99.0,MG_Hybrid_LowLands2025,0.60003066,318.71954,6.251655,8.38606,12.00963,26.647345,225117.95,672.2561599999999,214261.17,0.0
7219,SA_Diesel2012,Lowlands,336,70.25295324962515,99.0,0.7113669,99.0,99.0,MG_Hybrid_LowLands2025,0.7113669,240.20146,4.0967674,6.6976895,10.759185,21.553642,206510.33,811.3973,194898.81,0.0
7221,SA_Diesel2012,Lowlands,176,66.30263933813966,99.0,0.7713879,99.0,99.0,MG_Hybrid_LowLands2025,0.7713879,226.69496,3.5701659,6.4072394,10.014704,19.99211,211999.98,878.6932400000001,199195.33,0.0
7479,SA_PV2012,Highlands,2005,55.83869069371399,99.0,99.0,0.60158205,99.0,MG_Hybrid_HighLands2025,0.60158205,190.91773999999998,3.4041892999999996,6.863503,7.7777899999999995,18.045482999999997,164995.81,608.9259599999999,116254.766,0.0
7664,SA_Diesel2012,Lowlands,323,77.49281087773541,99.0,0.6321237,99.0,99.0,MG_Hybrid_LowLands2025,0.6321237,264.9552,4.247093700000001,7.229882000000001,8.476239999999999,19.953215,197230.36,707.6961,187507.77,0.0
7808,SA_Diesel2012,Highlands,3862,51.15762032944122,99.0,99.0,0.63551855,99.0,MG_Hybrid_HighLands2025,0.63551855,174.91272,5.171791000000001,6.4071945999999995,8.219758,19.798744,162843.53,683.1958599999999,119499.65,0.0
7886,SA_Diesel2012,Lowlands,152,70.19253292619956,99.0,0.71030945,99.0,99.0,MG_Hybrid_LowLands2025,0.71030945,239.99487000000002,4.106685,6.6931577,4.809788,15.609632000000001,201387.22,796.07336,191053.52,0.0
8083,SA_PV2012,Lowlands,228,57.67515951212636,99.0,0.7096248000000001,99.0,99.0,MG_Hybrid_LowLands2025,0.7096248000000001,197.1968,3.6700988,5.7729897,7.599599400000001,17.042688000000002,173179.38,837.1596,165085.19,0.0
8160,SA_Diesel2012,Lowlands,206,62.42870609769204,99.0,0.70647794,99.0,99.0,MG_Hybrid_LowLands2025,0.70647794,213.44962,2.9741824,6.122397,9.250074,18.346655,183743.28,813.3555,173610.44,0.0
8275,SA_Diesel2012,Lowlands,521,64.31256786152073,99.0,0.98979586,99.0,99.0,MG_Hybrid_LowLands2025,0.98979586,219.89072000000002,4.6371355,6.2610693,13.087532000000001,23.985737,269490.44,1137.5844,250144.23,0.0
8279,SA_Diesel2012,Lowlands,247,84.83027286021891,99.0,0.63072675,99.0,99.0,MG_Hybrid_LowLands2025,0.63072675,290.0427,5.583705999999999,7.7693825,8.629485,21.982574,214428.02,704.36237,204295.16,0.0
8302,SA_Diesel2012,Lowlands,154,84.60764606180636,99.0,0.6074634,99.0,99.0,MG_Hybrid_LowLands2025,0.6074634,289.2815,4.6890383,7.752928,7.706802000000001,20.148767000000003,204035.62,671.70917,194313.05,0.0
8479,SA_PV2012,Highlands,3059,53.018482836972254,99.0,99.0,0.6123718,99.0,MG_Hybrid_HighLands2025,0.6123718,181.27518,3.8415318,6.5891848,7.7062583,18.136974,158838.42,639.104,115853.695,0.0
8487,SA_PV2012,Highlands,2228,51.15762032944122,99.0,99.0,0.62053925,99.0,MG_Hybrid_HighLands2025,0.62053925,174.91272,3.1761374,6.409406,7.349551700000001,16.935095,155984.94,652.58545,114145.5,0.0
8515,SA_PV2012,Highlands,2354,62.58712891223972,99.0,99.0,0.57821363,99.0,MG_Hybrid_HighLands2025,0.57821363,213.99129,5.0308375,7.5151443,9.350347,21.896328,175964.95,581.56805,124450.49,0.0
8544,SA_PV2012,Highlands,1950,176.27089384952347,99.0,99.0,0.45257372,99.0,MG_Hybrid_HighLands2025,0.45257372,602.68677,21.54969,18.51963,21.255697,61.325019999999995,386016.16,377.1442,227299.83,0.0
8781,SA_PV2012,Lowlands,272,62.17296091194496,99.0,0.6659841999999999,99.0,99.0,MG_Hybrid_LowLands2025,0.6659841999999999,212.5752,2.6784632,6.1035379999999995,7.3413825,16.123383,170608.38,761.9472,161971.08,0.0
8962,Non,Lowlands,224,56.25387512787135,99.0,0.7008684000000001,99.0,99.0,MG_Hybrid_LowLands2025,0.7008684000000001,192.3373,3.3137309999999998,5.668486,8.091678,17.073895,167698.22,830.64764,159764.52,0.0
8981,SA_Diesel2012,Lowlands,387,104.74967332166712,99.0,0.78407407,99.0,99.0,MG_Hybrid_LowLands2025,0.78407407,358.149,7.4271020000000005,9.233941,13.831825,30.492867999999998,328275.66,856.3897,306715.1,0.0
9158,SA_Diesel2012,Lowlands,129,58.325167572292045,99.0,0.67413276,99.0,99.0,MG_Hybrid_LowLands2025,0.67413276,199.41924,2.1570005,5.8206185999999995,6.6752734,14.652892999999999,162899.2,775.0952,154568.9,0.0
9183,Non,Lowlands,154,57.476785438299466,99.0,0.6634634,99.0,99.0,MG_Hybrid_LowLands2025,0.6634634,196.51854,2.018602,5.7582445,6.967871000000001,14.744717999999999,158530.67,765.91455,150516.4,0.0
9407,SA_PV2012,Highlands,2399,64.22697447235234,99.0,99.0,0.5885818,99.0,MG_Hybrid_HighLands2025,0.5885818,219.59807,5.3149953000000005,7.6738873,9.580732000000001,22.569614,183617.69,592.1027,130024.62,0.0
9442,SA_Diesel2012,Lowlands,298,64.44175202257523,99.0,0.65860593,99.0,99.0,MG_Hybrid_LowLands2025,0.65860593,220.33241,3.0782025,6.270368,7.9876204,17.336191,174745.34,753.5551,166032.62,0.0
9500,SA_PV2012,Highlands,3839,52.441232944421536,99.0,99.0,0.63676745,99.0,MG_Hybrid_HighLands2025,0.63676745,179.30151,4.6259346,6.5312324,8.534694,19.691860000000002,168556.94,688.47546,123444.69,0.0
9506,Non,Highlands,3816,102.7244675968327,99.0,99.0,0.5046959,99.0,MG_Hybrid_HighLands2025,0.5046959,351.2246,10.487898,11.401516,14.268262,36.157677,251013.84,456.32513,160272.61,0.0
9847,SA_PV2012,Lowlands,249,113.55930643648682,99.0,0.58569115,99.0,99.0,MG_Hybrid_LowLands2025,0.58569115,388.26996,8.425003,9.881568,10.734592999999998,29.041164000000002,263089.34,646.4362,250991.77,0.0
9854,SA_PV2012,Lowlands,294,63.43740286109697,99.0,0.69605726,99.0,99.0,MG_Hybrid_LowLands2025,0.69605726,216.89845,3.808238,6.1966043,8.348726,18.353569,183692.72,805.0305,174609.86,0.0
9867,SA_Diesel2012,Lowlands,193,90.78247703689159,99.0,0.6356614,99.0,99.0,MG_Hybrid_LowLands2025,0.6356614,310.39383,5.929582599999999,8.206996,10.219604499999999,24.356184,230939.8,706.4149,219266.83,0.0
